epoch,val_loss,train_loss
0,0.052251677960157394,0.05298274755477905
1,0.05458322912454605,
2,0.06032678112387657,
3,0.06389174610376358,
4,0.0683312714099884,
5,0.04742540046572685,0.04889797791838646
6,0.018813233822584152,
7,0.016445377841591835,
8,0.016840048134326935,
9,0.016591353341937065,
10,0.016509469598531723,0.015485179610550404
11,0.017053114250302315,
12,0.017246956005692482,
13,0.016760999336838722,
14,0.016182849183678627,
15,0.016950778663158417,0.0158834345638752
16,0.016915373504161835,
17,0.016684114933013916,
18,0.016602234914898872,
19,0.01659667119383812,
20,0.016325945034623146,0.01547474879771471
21,0.016218915581703186,
22,0.016354840248823166,
23,0.01679614745080471,
24,0.016240470111370087,
