epoch,val_loss,train_loss
0,0.016375087201595306,0.01590227708220482
1,0.01598646119236946,
2,0.015761317685246468,
3,0.014963154681026936,
4,0.014522822573781013,
5,0.013547206297516823,0.012922675348818302
6,0.013642790727317333,
7,0.011344549246132374,
8,0.011181775480508804,
9,0.010804176330566406,
10,0.009817549958825111,0.008651589043438435
11,0.009798921644687653,
12,0.009472426027059555,
13,0.009984255768358707,
14,0.009484316222369671,
15,0.00938249472528696,0.006838747765868902
16,0.009443609043955803,
17,0.00967814028263092,
18,0.010345380753278732,
19,0.009614893235266209,
20,0.009412666782736778,0.005974603816866875
21,0.009444333612918854,
22,0.009189187549054623,
23,0.009073647670447826,
24,0.009139143861830235,
25,0.009234162047505379,0.004839289467781782
26,0.009223828092217445,
27,0.009272397495806217,
28,0.008798099122941494,
29,0.00903350580483675,
30,0.009629768319427967,0.003611142747104168
31,0.01013211254030466,
32,0.010020948015153408,
33,0.010819985531270504,
34,0.010637104511260986,
35,0.010811319574713707,0.0030875136144459248
36,0.009918995201587677,
37,0.009508821181952953,
38,0.009909809567034245,
